sku,name,imgurl,category,description
A07397S,Преобразователь ржавчины 500 мл AVS AVK-184,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/sv4llg5ely1xhxl_6d21800f.jpg,Средства от коррозии,Предназначен для преобразования ржавчины на поверхности черных металлов в целях подготовки их к окрашиванию.
A07132S,Эмаль универсальная алкид. (вишнёвый) (аэрозоль) 520 мл AVS AVK-510,https://avs-auto.ru/storage/photo/resized/axy_210x210/f/n4vkjddg1pkmf0n_2709c74c.jpg,Лакокрасочные материалы,Предназначена для окраски металлических и деревянных поверхностей. Применяется для наружных и внутренних работ. Легко наносится на труднодоступные места.
A07125S,Эмаль универсальная алкид. (белый матовый) (аэрозоль) 520 мл AVS AVK-503,https://avs-auto.ru/storage/photo/resized/axy_210x210/b/e6tkqln8nt475km_6c0b74e5.jpg,Лакокрасочные материалы,Предназначена для окраски металлических и деревянных поверхностей. Применяется для наружных и внутренних работ. Легко наносится на труднодоступные места.
A40525S,"Пенная добавка для автошампуня AVS ""Foam Component"" AVK-717",https://avs-auto.ru/storage/photo/resized/axy_210x210/g/y41n7tbuao7fgv6_f9a9c37f.jpg,Автошампуни и воск для сушки,Обильное пенообразование. Усиление моющего действия.
A40153S,"Полироль пластика, винила ""Яблоко"" (аэрозоль) 520 мл AVS AVK-642",https://avs-auto.ru/storage/photo/resized/axy_210x210/a/82avxjh81z0t8lw_89b51372.jpg,Для салона,Защита от пыли и УФ-излучения. Прекрасно очищает и обновляет внешний вид приборной панели.
A78559S,Вытеснитель влаги и очиститель топливной системы 335 мл AVS AVK-162,https://avs-auto.ru/storage/photo/resized/axy_210x210/i/qg2cwpjjolu4lwh_563ffde4.jpg,Для подкапотного пространства,"Концентрированное средство обеспечивающее идеальное рабочее состояние топливной системы карбюраторных и инжекторных двигателей. Успешно борется с образованием льда во всех его проявлениях. Очищает топливную систему, восстанавливая мощность двигателя."
A07565S,"Автошампунь ""Суперпена"" 1 л AVS AVK-703",https://avs-auto.ru/storage/photo/resized/axy_210x210/g/f8wr9adzduvmx4a_caac2bf5.jpg,Автошампуни и воск для сушки,"Концентрированный автомобильный шампунь с обильным пенообразованием обеспечивает эффективную и безопасную очистку кузова автомобиля от загрязнений, придавая ему блеск и защитные свойства. Быстро удаляет дорожный налёт, масляные и прочие загрязнения с поверхности кузова автомобиля."
A78871S,Супер клей (гелевый) 3 г AVS AVK-172,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/h1n0d2lwm98jssu_398ae9e3.png,Клеи и герметики,"Подходит для склеивания: кожи, дерева, резины, бумаги, картона, металла, пластмассы."
A07126S,Эмаль универсальная алкид. (красный) (аэрозоль) 520 мл AVS AVK-504,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/4ncjveercq4leyk_b0a0a67.jpg,Лакокрасочные материалы,Предназначена для окраски металлических и деревянных поверхностей. Применяется для наружных и внутренних работ. Легко наносится на труднодоступные места.
A07124S,Эмаль универсальная алкид. (белый глянец) (аэрозоль) 520 мл AVS AVK-502,https://avs-auto.ru/storage/photo/resized/axy_210x210/i/z1bjjg4it1wxdv8_8c77ac30.jpg,Лакокрасочные материалы,Предназначена для окраски металлических и деревянных поверхностей. Применяется для наружных и внутренних работ. Легко наносится на труднодоступные места.
